time x1 y1 x2 y2
9.398900000000001143e+00 -8.630090706798269895e-02 -3.905792537235476813e-01 -3.488553000452519481e-01 -8.880915790831006573e-02
9.399000000000000909e+00 -8.832253269278877994e-02 -3.901270693232286590e-01 -3.526904734474325398e-01 -8.994447172445180216e-02
9.399100000000000676e+00 -9.032537326466433258e-02 -3.896682267578395753e-01 -3.564904305080400793e-01 -9.107793504923339389e-02
9.399200000000000443e+00 -9.230913158637425731e-02 -3.892030629706932920e-01 -3.602548029510528327e-01 -9.220959974813058846e-02
9.399300000000000210e+00 -9.427352106096494044e-02 -3.887319169128871654e-01 -3.639832452884643743e-01 -9.333952591893113215e-02
9.399399999999999977e+00 -9.621826590296254922e-02 -3.882551291440035079e-01 -3.676754350792719173e-01 -9.446778206659006694e-02
9.399499999999999744e+00 -9.814310131353591593e-02 -3.877730414360454625e-01 -3.713310731090944117e-01 -9.559444525516647140e-02
9.399600000000001288e+00 -1.000477736197907253e-01 -3.872859963821608797e-01 -3.749498834909316125e-01 -9.671960123572415080e-02
9.399700000000001054e+00 -1.019320403785892587e-01 -3.867943370116186941e-01 -3.785316136880654270e-01 -9.784334454920179391e-02
9.399800000000000821e+00 -1.037956704455057499e-01 -3.862984064124106443e-01 -3.820760344605749759e-01 -9.896577860338412469e-02
9.399900000000000588e+00 -1.056384440097307698e-01 -3.857985473627434381e-01 -3.855829397373784495e-01 -1.000870157232363611e-01
9.400000000000000355e+00 -1.074601525959252846e-01 -3.852951019725795456e-01 -3.890521464161276199e-01 -1.012071771740004067e-01
9.400100000000000122e+00 -1.092605990341961597e-01 -3.847884113362675662e-01 -3.924834940936631766e-01 -1.023263931565941420e-01
9.400199999999999889e+00 -1.110395973995195046e-01 -3.842788151971854860e-01 -3.958768447300803905e-01 -1.034448027749916843e-01
9.400299999999999656e+00 -1.127969729220726081e-01 -3.837666516251995175e-01 -3.992320822497650301e-01 -1.045625539754105326e-01
9.400400000000001199e+00 -1.145325618700531178e-01 -3.832522567076186992e-01 -4.025491120830253511e-01 -1.056798034572673517e-01
9.400500000000000966e+00 -1.162462114066610541e-01 -3.827359642542073614e-01 -4.058278606521764642e-01 -1.067967165560096965e-01
9.400600000000000733e+00 -1.179377794229985454e-01 -3.822181055166959940e-01 -4.090682748061183482e-01 -1.079134670980588240e-01
9.400700000000000500e+00 -1.196071343487022515e-01 -3.816990089231193095e-01 -4.122703212076006540e-01 -1.090302372282412335e-01
9.400800000000000267e+00 -1.212541549421659870e-01 -3.811789998271956637e-01 -4.154339856774744710e-01 -1.101472172102020419e-01
9.400900000000000034e+00 -1.228787300622357359e-01 -3.806584002728590765e-01 -4.185592725003030035e-01 -1.112646052004218622e-01
9.400999999999999801e+00 -1.244807584232679870e-01 -3.801375287739530706e-01 -4.216462036957370763e-01 -1.123826069965649932e-01
9.401099999999999568e+00 -1.260601483354355512e-01 -3.796167001090020587e-01 -4.246948182600634447e-01 -1.135014357609970825e-01
9.401200000000001111e+00 -1.276168174321444804e-01 -3.790962251308903630e-01 -4.277051713823011303e-01 -1.146213117204016307e-01
9.401300000000000878e+00 -1.291506923863917355e-01 -3.785764105911983979e-01 -4.306773336391592766e-01 -1.157424618425162977e-01
9.401400000000000645e+00 -1.306617086178482601e-01 -3.780575589788736646e-01 -4.336113901730819786e-01 -1.168651194910843016e-01
9.401500000000000412e+00 -1.321498099923968939e-01 -3.775399683728510869e-01 -4.365074398574927961e-01 -1.179895240601870898e-01
9.401600000000000179e+00 -1.336149485157905603e-01 -3.770239323081794325e-01 -4.393655944532169899e-01 -1.191159205891819672e-01
9.401699999999999946e+00 -1.350570840230244096e-01 -3.765097396551618236e-01 -4.421859777599069785e-01 -1.202445593595182216e-01
9.401799999999999713e+00 -1.364761838649382886e-01 -3.759976745109783192e-01 -4.449687247661278100e-01 -1.213756954747452488e-01
9.401900000000001256e+00 -1.378722225934836954e-01 -3.754880161032212449e-01 -4.477139808015787592e-01 -1.225095884250566036e-01
9.402000000000001023e+00 -1.392451816470032244e-01 -3.749810387047498583e-01 -4.504219006947327575e-01 -1.236465016377355508e-01
9.402100000000000790e+00 -1.405950490367817440e-01 -3.744770115592477300e-01 -4.530926479389792982e-01 -1.247867020148818451e-01
9.402200000000000557e+00 -1.419218190360394816e-01 -3.739761988168520679e-01 -4.557263938701501260e-01 -1.259304594598071869e-01
9.402300000000000324e+00 -1.432254918724459314e-01 -3.734788594792159966e-01 -4.583233168580960748e-01 -1.270780463934783611e-01
9.402400000000000091e+00 -1.445060734251445156e-01 -3.729852473533594726e-01 -4.608836015147804721e-01 -1.282297372623880383e-01
9.402499999999999858e+00 -1.457635749271877501e-01 -3.724956110136683485e-01 -4.634074379211403638e-01 -1.293858080392117915e-01
9.402599999999999625e+00 -1.469980126741971815e-01 -3.720101937714027085e-01 -4.658950208747643096e-01 -1.305465357175922825e-01
9.402700000000001168e+00 -1.482094077399759569e-01 -3.715292336510891413e-01 -4.683465491602311070e-01 -1.317121978023663986e-01
9.402800000000000935e+00 -1.493977856997216747e-01 -3.710529633731821653e-01 -4.707622248437607904e-01 -1.328830717965238384e-01
9.402900000000000702e+00 -1.505631763614065088e-01 -3.705816103423967833e-01 -4.731422525936305190e-01 -1.340594346861487818e-01
9.403000000000000469e+00 -1.517056135058185151e-01 -3.701153966411330209e-01 -4.754868390276348888e-01 -1.352415624245675296e-01
9.403100000000000236e+00 -1.528251346356843954e-01 -3.696545390274343368e-01 -4.777961920886831804e-01 -1.364297294168789754e-01
9.403200000000000003e+00 -1.539217807342281030e-01 -3.691992489369448904e-01 -4.800705204494652989e-01 -1.376242080060136042e-01
9.403299999999999770e+00 -1.549955960334542526e-01 -3.687497324883561856e-01 -4.823100329469549030e-01 -1.388252679614206953e-01
9.403400000000001313e+00 -1.560466277923874268e-01 -3.683061904918570884e-01 -4.845149380473679490e-01 -1.400331759714414648e-01
9.403500000000001080e+00 -1.570749260854405194e-01 -3.678688184601318079e-01 -4.866854433420527704e-01 -1.412481951403895264e-01
9.403600000000000847e+00 -1.580805436010355169e-01 -3.674378066214759042e-01 -4.888217550746554174e-01 -1.424705844913125574e-01
9.403700000000000614e+00 -1.590635354505502141e-01 -3.670133399346290348e-01 -4.909240776997763067e-01 -1.437005984753705334e-01
9.403800000000000381e+00 -1.600239589876211177e-01 -3.665955981049529022e-01 -4.929926134732220411e-01 -1.449384864887258428e-01
9.403900000000000148e+00 -1.609618736377913528e-01 -3.661847556016111782e-01 -4.950275620738435745e-01 -1.461844923977992372e-01
9.403999999999999915e+00 -1.618773407384552776e-01 -3.657809816754365451e-01 -4.970291202568555278e-01 -1.474388540737077147e-01
9.404099999999999682e+00 -1.627704233890165941e-01 -3.653844403772009142e-01 -4.989974815384368156e-01 -1.487018029366657945e-01
9.404200000000001225e+00 -1.636411863111462694e-01 -3.649952905760302513e-01 -5.009328359113265350e-01 -1.499735635110908682e-01
9.404300000000000992e+00 -1.644896957189977138e-01 -3.646136859777366901e-01 -5.028353695910503518e-01 -1.512543529921215324e-01
9.404400000000000759e+00 -1.653160191992108508e-01 -3.642397751428668173e-01 -5.047052647923446766e-01 -1.525443808242292199e-01
9.404500000000000526e+00 -1.661202256005137323e-01 -3.638737015042918244e-01 -5.065426995352679818e-01 -1.538438482925600370e-01
9.404600000000000293e+00 -1.669023849327088971e-01 -3.635156033841929757e-01 -5.083478474804385971e-01 -1.551529481276260614e-01
9.404700000000000060e+00 -1.676625682748135171e-01 -3.631656140103211028e-01 -5.101208777927774829e-01 -1.564718641239290220e-01
9.404799999999999827e+00 -1.684008476921045883e-01 -3.628238615314332005e-01 -5.118619550330790746e-01 -1.578007707730709475e-01
9.404899999999999594e+00 -1.691172961618063741e-01 -3.624904690318351830e-01 -5.135712390766918878e-01 -1.591398329118839106e-01
9.405000000000001137e+00 -1.698119875071429918e-01 -3.621655545449814495e-01 -5.152488850585421609e-01 -1.604892053860774714e-01
9.405100000000000904e+00 -1.704849963394676204e-01 -3.618492310661053923e-01 -5.168950433436956260e-01 -1.618490327298823250e-01
9.405200000000000671e+00 -1.711363980081697378e-01 -3.615416065638771270e-01 -5.185098595226159679e-01 -1.632194488621429018e-01
9.405300000000000438e+00 -1.717662685580522153e-01 -3.612427839911035443e-01 -5.200934744302434520e-01 -1.646005767992799185e-01
9.405400000000000205e+00 -1.723746846938623567e-01 -3.609528612945069326e-01 -5.216460241879854465e-01 -1.659925283855251954e-01
9.405499999999999972e+00 -1.729617237516549166e-01 -3.606719314236363494e-01 -5.231676402676860294e-01 -1.673954040408041632e-01
9.405599999999999739e+00 -1.735274636766586387e-01 -3.604000823389832964e-01 -5.246584495766102307e-01 -1.688092925266125865e-01
9.405700000000001282e+00 -1.740719830073143015e-01 -3.601373970193894047e-01 -5.261185745624601395e-01 -1.702342707302090530e-01
9.405800000000001049e+00 -1.745953608651480415e-01 -3.598839534688491049e-01 -5.275481333374136828e-01 -1.716704034674181867e-01
9.405900000000000816e+00 -1.750976769501416397e-01 -3.596398247228244083e-01 -5.289472398201633396e-01 -1.731177433043109559e-01
9.406000000000000583e+00 -1.755790115412591001e-01 -3.594050788542009767e-01 -5.303160038949090715e-01 -1.745763303979976921e-01
9.406100000000000350e+00 -1.760394455017892101e-01 -3.591797789790268647e-01 -5.316545315862494236e-01 -1.760461923567419595e-01
9.406200000000000117e+00 -1.764790602891622429e-01 -3.589639832621850379e-01 -5.329629252488994329e-01 -1.775273441195690527e-01
9.406299999999999883e+00 -1.768979379689012976e-01 -3.587577449231594828e-01 -5.342412837711538742e-01 -1.790197878555112032e-01
9.406399999999999650e+00 -1.772961612323697977e-01 -3.585611122420633290e-01 -5.354897027910061613e-01 -1.805235128825980473e-01
9.406500000000001194e+00 -1.776738134179786377e-01 -3.583741285661024567e-01 -5.367082749238275552e-01 -1.820384956066659066e-01
9.406600000000000961e+00 -1.780309785355211338e-01 -3.581968323166535573e-01 -5.378970900005055622e-01 -1.835646994800206599e-01
9.406700000000000728e+00 -1.783677412933064588e-01 -3.580292569971399441e-01 -5.390562353149404018e-01 -1.851020749799516252e-01
9.406800000000000495e+00 -1.786841871277680127e-01 -3.578714312018895782e-01 -5.401857958797993131e-01 -1.866505596070594797e-01
9.406900000000000261e+00 -1.789804022352283197e-01 -3.577233786261612147e-01 -5.412858546894312450e-01 -1.882100779033112625e-01
9.407000000000000028e+00 -1.792564736055084762e-01 -3.575851180775252436e-01 -5.423564929888499142e-01 -1.897805414897066612e-01
9.407099999999999795e+00 -1.795124890570771181e-01 -3.574566634887826333e-01 -5.433977905477039849e-01 -1.913618491233858576e-01
9.407200000000001339e+00 -1.797485372734412834e-01 -3.573380239326040542e-01 -5.444098259381604521e-01 -1.929538867739766794e-01
9.407300000000001106e+00 -1.799647078404904288e-01 -3.572292036380662061e-01 -5.453926768156465155e-01 -1.945565277189298947e-01
9.407400000000000873e+00 -1.801610912845131307e-01 -3.571302020092578799e-01 -5.463464202014068904e-01 -1.961696326575488591e-01
9.407500000000000639e+00 -1.803377791106165473e-01 -3.570410136461223405e-01 -5.472711327658550395e-01 -1.977930498433795869e-01
9.407600000000000406e+00 -1.804948638412874895e-01 -3.569616283676931845e-01 -5.481668911117203447e-01 -1.994266152345802456e-01
9.407700000000000173e+00 -1.806324390548463277e-01 -3.568920312378762727e-01 -5.490337720560152235e-01 -2.010701526618501045e-01
9.407799999999999940e+00 -1.807505994235547309e-01 -3.568322025939162367e-01 -5.498718529098758356e-01 -2.027234740134522817e-01
9.407899999999999707e+00 -1.808494407511504753e-01 -3.567821180776807322e-01 -5.506812117553580022e-01 -2.043863794368268594e-01
9.408000000000001251e+00 -1.809290600095951329e-01 -3.567417486698807316e-01 -5.514619277183057111e-01 -2.060586575562483869e-01
9.408100000000001017e+00 -1.809895553748316344e-01 -3.567110607273353828e-01 -5.522140812364408902e-01 -2.077400857059459871e-01
9.408200000000000784e+00 -1.810310262613625820e-01 -3.566900160233782979e-01 -5.529377543218629842e-01 -2.094304301780655908e-01
9.408300000000000551e+00 -1.810535733554727578e-01 -3.566785717914863207e-01 -5.536330308171847348e-01 -2.111294464848174901e-01
9.408400000000000318e+00 -1.810572986469317913e-01 -3.566766807722026589e-01 -5.542999966445728566e-01 -2.128368796341250646e-01
9.408500000000000085e+00 -1.810423054590279135e-01 -3.566842912634085039e-01 -5.549387400470052745e-01 -2.145524644180520357e-01
9.408599999999999852e+00 -1.810086984767946272e-01 -3.567013471739865493e-01 -5.555493518211003234e-01 -2.162759257132673418e-01
9.408699999999999619e+00 -1.809565837733080884e-01 -3.567277880809031632e-01 -5.561319255409211681e-01 -2.180069787927694236e-01
9.408800000000001162e+00 -1.808860688339444245e-01 -3.567635492897243132e-01 -5.566865577722039937e-01 -2.197453296480831042e-01
9.408900000000000929e+00 -1.807972625785002063e-01 -3.568085618985632479e-01 -5.572133482765101453e-01 -2.214906753211102475e-01
9.409000000000000696e+00 -1.806902753810925022e-01 -3.568627528654468306e-01 -5.577124002048461371e-01 -2.232427042448076326e-01
9.409100000000000463e+00 -1.805652190877670427e-01 -3.569260450790705530e-01 -5.581838202803506288e-01 -2.250010965918472217e-01
9.409200000000000230e+00 -1.804222070317565985e-01 -3.569983574329018694e-01 -5.586277189696943202e-01 -2.267655246304074723e-01
9.409299999999999997e+00 -1.802613540463427755e-01 -3.570796049025750651e-01 -5.590442106428876734e-01 -2.285356530862357738e-01
9.409399999999999764e+00 -1.800827764752872540e-01 -3.571696986265096574e-01 -5.594334137212437774e-01 -2.303111395101194447e-01
9.409500000000001307e+00 -1.798865921808092128e-01 -3.572685459896732252e-01 -5.597954508132911844e-01 -2.320916346499022065e-01
9.409600000000001074e+00 -1.796729205490971426e-01 -3.573760507103936335e-01 -5.601304488384778457e-01 -2.338767828261869020e-01
9.409700000000000841e+00 -1.794418824933531054e-01 -3.574921129301200096e-01 -5.604385391385614534e-01 -2.356662223108710041e-01
9.409800000000000608e+00 -1.791936004543781269e-01 -3.576166293060163426e-01 -5.607198575766184634e-01 -2.374595857076731154e-01
9.409900000000000375e+00 -1.789281983987160984e-01 -3.577494931062652483e-01 -5.609745446236584776e-01 -2.392565003338172624e-01
9.410000000000000142e+00 -1.786458018143827764e-01 -3.578905943079481178e-01 -5.612027454328678555e-01 -2.410565886020613058e-01
9.410099999999999909e+00 -1.783465377042142419e-01 -3.580398196973617608e-01 -5.614046099015502778e-01 -2.428594684022710171e-01
9.410199999999999676e+00 -1.780305345768768144e-01 -3.581970529726221653e-01 -5.615802927208733974e-01 -2.446647534817645853e-01
9.410300000000001219e+00 -1.776979224355877129e-01 -3.583621748484009384e-01 -5.617299534135673511e-01 -2.464720538236736258e-01
9.410400000000000986e+00 -1.773488327646006724e-01 -3.585350631626336715e-01 -5.618537563597567619e-01 -2.482809760225949680e-01
